place,competitionId,competition,country,startDate,endDate,partScore,participationScorePlace,resultScore,resultScorePlace,competitionScore,competitionUrl
1,537195,"Weltklasse Zürich, Zürich",SUI,19 AUG 2005,19 AUG 2005,8180,1,86182,4,94362,https://worldathletics.org/records/competition-performance-rankings/ranking/537195
2,537167,"Bruxelles Memorial Van Damme, Boudewijnstadion, Bruxelles",BEL,26 AUG 2005,26 AUG 2005,7160,3,86781,1,94061,https://worldathletics.org/records/competition-performance-rankings/ranking/537167
3,388442,"Roma Golden Gala, Stadio Olimpico, Roma",ITA,08 JUL 2005,08 JUL 2005,7360,2,86652,2,94012,https://worldathletics.org/records/competition-performance-rankings/ranking/388442
4,537117,"Paris-St-Denis Meeting Gaz de France, Stade de France, Paris-St-Denis",FRA,01 JUL 2005,01 JUL 2005,6760,5,86443,3,93203,https://worldathletics.org/records/competition-performance-rankings/ranking/537117
5,404930,"Berlin ISTAF, Olympiastadion, Berlin",GER,03 SEP 2005,04 SEP 2005,6860,4,84920,9,91780,https://worldathletics.org/records/competition-performance-rankings/ranking/404930
6,444859,"Athletissima Lausanne, Stade Olympique de la Pontaise, Lausanne",SUI,05 JUL 2005,05 JUL 2005,6280,6,85221,6,91621,https://worldathletics.org/records/competition-performance-rankings/ranking/444859
7,396481,"Athina Super Grand Prix Tsiklitiria, Olympic Stadium, Athina",GRE,14 JUN 2005,14 JUN 2005,5835,8,85269,5,91224,https://worldathletics.org/records/competition-performance-rankings/ranking/396481
8,537131,"Oslo Bislett Games, Oslo",NOR,29 JUL 2005,29 JUL 2005,5515,13,84912,10,90427,https://worldathletics.org/records/competition-performance-rankings/ranking/537131
9,537087,"Eugene Prefontaine Classic, Eugene, OR",USA,04 JUN 2005,04 JUN 2005,5805,9,84437,12,90242,https://worldathletics.org/records/competition-performance-rankings/ranking/537087
10,447756,"Stockholm DN Galan, Stockholm",SWE,26 JUL 2005,26 JUL 2005,5735,11,84442,11,90177,https://worldathletics.org/records/competition-performance-rankings/ranking/447756
11,537082,"Sheffield Norwich Union British GP, Sheffield",GBR,21 AUG 2005,21 AUG 2005,5910,7,84262,13,90172,https://worldathletics.org/records/competition-performance-rankings/ranking/537082
12,518719,"Crystal Palace Norwich Union LONDON Grand Prix, Crystal Palace, London",GBR,22 JUL 2005,22 JUL 2005,4720,16,85024,8,89894,https://worldathletics.org/records/competition-performance-rankings/ranking/518719
13,388669,"Rieti 2005, Rieti",ITA,28 AUG 2005,28 AUG 2005,4855,15,85032,7,89887,https://worldathletics.org/records/competition-performance-rankings/ranking/388669
14,427004,"Madrid Meeting 2005, Madrid",ESP,16 JUL 2005,16 JUL 2005,5765,10,83934,16,89819,https://worldathletics.org/records/competition-performance-rankings/ranking/427004
15,373372,"Doha Qatar Athletic Super Grand Prix, Doha",QAT,13 MAY 2005,13 MAY 2005,5025,14,83989,14,89014,https://worldathletics.org/records/competition-performance-rankings/ranking/373372
16,537174,"Shanghai Golden Grand Prix, Shanghai",CHN,17 SEP 2005,17 SEP 2005,5690,12,83108,20,88798,https://worldathletics.org/records/competition-performance-rankings/ranking/537174
17,425615,"Sevilla Meeting de Atletismo, Sevilla",ESP,04 JUN 2005,04 JUN 2005,4285,17,83736,18,88021,https://worldathletics.org/records/competition-performance-rankings/ranking/425615
18,537153,"Hengelo THALES FBK-Games, FBK Stadium, Hengelo",NED,29 MAY 2005,29 MAY 2005,3385,22,83974,15,87359,https://worldathletics.org/records/competition-performance-rankings/ranking/537153
