place,competitionId,competition,country,startDate,endDate,partScore,participationScorePlace,resultScore,resultScorePlace,competitionScore,competitionUrl
1,535074,"Monaco Herculis, Stade Louis II, Monaco",MON,22 JUL 2011,22 JUL 2011,7750,2,86698,2,94448,https://worldathletics.org/records/competition-performance-rankings/ranking/535074
2,533992,"Eugene Prefontaine Classic, Hayward Field, Eugene, OR",USA,03 JUN 2011,04 JUN 2011,7370,4,86857,1,94377,https://worldathletics.org/records/competition-performance-rankings/ranking/533992
3,536210,"Weltklasse Zürich, Letzigrund, Zürich",SUI,07 SEP 2011,08 SEP 2011,8400,1,85753,4,94153,https://worldathletics.org/records/competition-performance-rankings/ranking/536210
4,536520,"Bruxelles Memorial van Damme, Boudewijnstadion, Bruxelles",BEL,16 SEP 2011,16 SEP 2011,6955,9,86620,3,93575,https://worldathletics.org/records/competition-performance-rankings/ranking/536520
5,534898,"Paris Meeting AREVA, Stade de France, Paris-St-Denis",FRA,08 JUL 2011,08 JUL 2011,7610,3,85486,6,93096,https://worldathletics.org/records/competition-performance-rankings/ranking/534898
6,535403,"Crystal Palace AVIVA London Grand Prix, Crystal Palace, London",GBR,05 AUG 2011,06 AUG 2011,7085,8,85653,5,92738,https://worldathletics.org/records/competition-performance-rankings/ranking/535403
7,533748,"Roma Compeed Golden Gala, Stadio Olimpico, Roma",ITA,26 MAY 2011,26 MAY 2011,7340,6,85160,8,92500,https://worldathletics.org/records/competition-performance-rankings/ranking/533748
8,534740,"Athletissima Lausanne, Stade Olympique de la Pontaise, Lausanne",SUI,30 JUN 2011,30 JUN 2011,7345,5,85077,9,92422,https://worldathletics.org/records/competition-performance-rankings/ranking/534740
9,535341,"Stockholm DN Galan, Olympiastadion, Stockholm",SWE,28 JUL 2011,29 JUL 2011,7170,7,84897,10,92067,https://worldathletics.org/records/competition-performance-rankings/ranking/535341
10,534918,"Birmingham AVIVA British Grand Prix, Alexander Stadium, Birmingham",GBR,10 JUL 2011,10 JUL 2011,6695,10,84319,15,91014,https://worldathletics.org/records/competition-performance-rankings/ranking/534918
11,534159,"Oslo ExxonMobil Bislett Games, Bislett Stadion, Oslo",NOR,09 JUN 2011,09 JUN 2011,6605,11,84304,16,90909,https://worldathletics.org/records/competition-performance-rankings/ranking/534159
12,533056,"Doha Samsung Diamond League Meeting, Suhaim bin Hamad Stadium, Doha",QAT,06 MAY 2011,06 MAY 2011,5595,15,85213,7,90808,https://worldathletics.org/records/competition-performance-rankings/ranking/533056
13,533326,"Shanghai Samsung Diamond League, Shanghai Stadium, Shanghai",CHN,15 MAY 2011,15 MAY 2011,6425,12,84347,14,90772,https://worldathletics.org/records/competition-performance-rankings/ranking/533326
14,536286,"Berlin ISTAF, Olympiastadion, Berlin",GER,11 SEP 2011,11 SEP 2011,6115,14,84392,13,90507,https://worldathletics.org/records/competition-performance-rankings/ranking/536286
15,533818,"Hengelo Fanny Blankers-Koen Games, FBK Stadium, Hengelo",NED,28 MAY 2011,29 MAY 2011,5025,17,84623,11,89648,https://worldathletics.org/records/competition-performance-rankings/ranking/533818
16,536409,"Zagreb IAAF World Challenge, Sports Park Mladost, Zagreb",CRO,13 SEP 2011,13 SEP 2011,4880,18,84456,12,89336,https://worldathletics.org/records/competition-performance-rankings/ranking/536409
