place,competitionId,competition,country,startDate,endDate,partScore,participationScorePlace,resultScore,resultScorePlace,competitionScore,competitionUrl
1,545928,"Athletissima Lausanne, Stade Olympique de la Pontaise, Lausanne",SUI,23 AUG 2012,23 AUG 2012,7810,2,86665,1,94475,https://worldathletics.org/records/competition-performance-rankings/ranking/545928
2,546110,"Weltklasse Zürich, Letzigrund, Zürich",SUI,29 AUG 2012,30 AUG 2012,8080,1,85852,6,93932,https://worldathletics.org/records/competition-performance-rankings/ranking/546110
3,544558,"Eugene Prefontaine Classic, Hayward Field, Eugene, OR",USA,01 JUN 2012,02 JUN 2012,7405,4,86438,2,93843,https://worldathletics.org/records/competition-performance-rankings/ranking/544558
4,546269,"Bruxelles Memorial Van Damme, Boudewijnstadion, Bruxelles",BEL,07 SEP 2012,07 SEP 2012,7015,8,86374,4,93509,https://worldathletics.org/records/competition-performance-rankings/ranking/546269
5,544520,"Roma Golden Gala, Stadio Olimpico, Roma",ITA,31 MAY 2012,31 MAY 2012,7545,3,85622,8,93167,https://worldathletics.org/records/competition-performance-rankings/ranking/544520
6,565172,"Monaco Herculis, Stade Louis II, Monaco",MON,20 JUL 2012,20 JUL 2012,6495,11,86388,3,92883,https://worldathletics.org/records/competition-performance-rankings/ranking/565172
7,565170,"Doha IAAF Diamond League Meeting, Suhaim bin Hamad Stadium, Doha",QAT,11 MAY 2012,11 MAY 2012,6755,9,86125,5,92880,https://worldathletics.org/records/competition-performance-rankings/ranking/565170
8,565180,"Paris Meeting AREVA, Stade de France, Paris-St-Denis",FRA,06 JUL 2012,06 JUL 2012,6600,10,85841,7,92441,https://worldathletics.org/records/competition-performance-rankings/ranking/565180
9,545358,"Crystal Palace Aviva London Grand Prix, Crystal Palace, London",GBR,13 JUL 2012,14 JUL 2012,7125,7,85216,9,92341,https://worldathletics.org/records/competition-performance-rankings/ranking/545358
10,565182,"Stockholm DN Galan, Olympiastadion, Stockholm",SWE,17 AUG 2012,17 AUG 2012,7350,5,84953,11,92303,https://worldathletics.org/records/competition-performance-rankings/ranking/565182
