place,competitionId,competition,country,startDate,endDate,partScore,participationScorePlace,resultScore,resultScorePlace,competitionScore,competitionUrl
1,565157,"Weltklasse Zürich, Letzigrund, Zürich",SUI,29 AUG 2008,29 AUG 2008,7670,1,85893,2,93563,https://worldathletics.org/records/competition-performance-rankings/ranking/565157
2,469231,"Roma Golden Gala, Stadio Olimpico, Roma",ITA,11 JUL 2008,11 JUL 2008,6590,4,85750,3,92460,https://worldathletics.org/records/competition-performance-rankings/ranking/469231
3,535389,"Bruxelles Memorial Van Damme, Boudewijnstadion, Bruxelles",BEL,05 SEP 2008,05 SEP 2008,7070,2,85195,10,92265,https://worldathletics.org/records/competition-performance-rankings/ranking/535389
4,479280,"Athletissima Lausanne, Stade Olympique de la Pontaise, Lausanne",SUI,02 SEP 2008,02 SEP 2008,6920,3,85272,7,92192,https://worldathletics.org/records/competition-performance-rankings/ranking/479280
5,468565,"Berlin DKB-ISTAF, Olympiastadion, Berlin",GER,01 JUN 2008,01 JUN 2008,6505,5,85454,4,91959,https://worldathletics.org/records/competition-performance-rankings/ranking/468565
6,368089,"Monaco Herculis, Stade Louis II, Monaco",MON,29 JUL 2008,29 JUL 2008,5225,11,86179,1,91524,https://worldathletics.org/records/competition-performance-rankings/ranking/368089
7,368088,"London Aviva Grand Prix, Crystal Palace, London",GBR,25 JUL 2008,26 JUL 2008,6120,6,85271,8,91391,https://worldathletics.org/records/competition-performance-rankings/ranking/368088
8,535377,"Stockholm DN Galan, Stockholm",SWE,21 JUL 2008,22 JUL 2008,5845,7,85410,5,91255,https://worldathletics.org/records/competition-performance-rankings/ranking/535377
9,469315,"Paris-St-Denis Meeting Gaz de France, Stade de France, Paris-St-Denis",FRA,18 JUL 2008,18 JUL 2008,5845,7,85347,6,91192,https://worldathletics.org/records/competition-performance-rankings/ranking/469315
10,535380,"Eugene Prefontaine Classic, Eugene, OR",USA,08 JUN 2008,08 JUN 2008,5340,9,85238,9,90578,https://worldathletics.org/records/competition-performance-rankings/ranking/535380
11,468679,"Oslo Bislett Games, Bislett Stadion, Oslo",NOR,06 JUN 2008,06 JUN 2008,5320,10,85080,11,90520,https://worldathletics.org/records/competition-performance-rankings/ranking/468679
12,522462,"Athina Grand Prix Tsiklitiria, Olympic Stadium, Athina",GRE,13 JUL 2008,13 JUL 2008,5200,12,84734,13,89934,https://worldathletics.org/records/competition-performance-rankings/ranking/522462
13,467911,"Doha Qatar Athletic Super Grand Prix, Doha",QAT,09 MAY 2008,09 MAY 2008,4730,15,84793,12,89523,https://worldathletics.org/records/competition-performance-rankings/ranking/467911
14,469597,"Rieti 2008, Rieti",ITA,07 SEP 2008,07 SEP 2008,4810,14,84563,14,89373,https://worldathletics.org/records/competition-performance-rankings/ranking/469597
15,473591,"Golden Spike, Ostrava",CZE,11 JUN 2008,12 JUN 2008,4730,15,84298,15,89268,https://worldathletics.org/records/competition-performance-rankings/ranking/473591
16,468332,"Hengelo Fanny Blankers-Koen Games, FBK Stadium, Hengelo",NED,24 MAY 2008,24 MAY 2008,4895,13,83961,18,88856,https://worldathletics.org/records/competition-performance-rankings/ranking/468332
17,468566,"New York Reebok Grand Prix, Icahn Stadium, New York, NY",USA,31 MAY 2008,31 MAY 2008,4205,19,84070,17,88395,https://worldathletics.org/records/competition-performance-rankings/ranking/468566
18,537099,"Carson adidas Track Classic, Carson, CA",USA,18 MAY 2008,18 MAY 2008,3890,21,84246,16,88136,https://worldathletics.org/records/competition-performance-rankings/ranking/537099
19,469862,"Shanghai Golden Grand Prix, Shanghai",CHN,20 SEP 2008,20 SEP 2008,4520,17,82839,22,87359,https://worldathletics.org/records/competition-performance-rankings/ranking/469862
20,469118,"Madrid Meeting de Atletismo, Madrid",ESP,05 JUL 2008,05 JUL 2008,3630,22,83484,19,87114,https://worldathletics.org/records/competition-performance-rankings/ranking/469118
21,469532,"Gateshead Aviva British Grand Prix, International Stadium, Gateshead",GBR,31 AUG 2008,31 AUG 2008,4290,18,82649,24,86939,https://worldathletics.org/records/competition-performance-rankings/ranking/469532
22,469321,"Barcelona Miting Internacional d'Atletisme, Barcelona",ESP,19 JUL 2008,19 JUL 2008,3165,26,83417,21,86582,https://worldathletics.org/records/competition-performance-rankings/ranking/469321
23,469635,"Zagreb Meeting 2008, Zagreb",CRO,09 SEP 2008,09 SEP 2008,4065,20,82355,25,86420,https://worldathletics.org/records/competition-performance-rankings/ranking/469635
24,469322,"Heusden-Zolder KBC Night of Athletics, Heusden-Zolder",BEL,20 JUL 2008,20 JUL 2008,2260,35,83434,20,85694,https://worldathletics.org/records/competition-performance-rankings/ranking/469322
25,469249,"Rethymno Vardinoyiannia, Rethymno",GRE,14 JUL 2008,14 JUL 2008,3400,23,81747,30,85147,https://worldathletics.org/records/competition-performance-rankings/ranking/469249
26,469045,"Villeneuve d'Ascq Meeting Lille Métropole, Villeneuve d'Ascq",FRA,27 JUN 2008,27 JUN 2008,2725,29,82186,27,84911,https://worldathletics.org/records/competition-performance-rankings/ranking/469045
27,469091,"Bydgoszcz European Athletics Festival, Zdzisław Krzyszkowiak Stadium, Bydgoszcz",POL,01 JUL 2008,01 JUL 2008,2725,29,81989,28,84714,https://worldathletics.org/records/competition-performance-rankings/ranking/469091
28,468855,"Zhukovskiy Znamenskiy Memorial, Meteor, Zhukovskiy",RUS,15 JUN 2008,15 JUN 2008,2805,28,81848,29,84653,https://worldathletics.org/records/competition-performance-rankings/ranking/468855
29,537096,"Fort-de-France Meeting du Conseil Général, Fort-de-France",FRA,08 MAY 2008,08 MAY 2008,1910,46,82662,23,84572,https://worldathletics.org/records/competition-performance-rankings/ranking/537096
30,469304,"Luzern Spitzenleichtathletik, Luzern",SUI,16 JUL 2008,16 JUL 2008,2060,42,82301,26,84361,https://worldathletics.org/records/competition-performance-rankings/ranking/469304
31,468794,"Moskva Open, Moskva",RUS,10 JUN 2008,10 JUN 2008,2515,31,81544,31,84059,https://worldathletics.org/records/competition-performance-rankings/ranking/468794
32,467896,"Kingston Jamaica International, National Stadium, Kingston",JAM,03 MAY 2008,03 MAY 2008,2395,34,81473,32,83868,https://worldathletics.org/records/competition-performance-rankings/ranking/467896
33,469592,"Dubnica nad Váhom The Athletic Bridge, Dubnica nad Váhom",SVK,07 SEP 2008,07 SEP 2008,2820,27,80799,40,83619,https://worldathletics.org/records/competition-performance-rankings/ranking/469592
34,470036,"Daegu Colorful Athletics Meeting, Daegu",KOR,25 SEP 2008,25 SEP 2008,3225,25,80379,47,83604,https://worldathletics.org/records/competition-performance-rankings/ranking/470036
