place,competitionId,competition,country,startDate,endDate,partScore,participationScorePlace,resultScore,resultScorePlace,competitionScore,competitionUrl
1,537176,"Bruxelles Memorial Van Damme, Boudewijnstadion, Bruxelles",BEL,05 SEP 2003,05 SEP 2003,7360,3,87503,1,94863,https://worldathletics.org/records/competition-performance-rankings/ranking/537176
2,445353,"Weltklasse Zürich, Zürich",SUI,15 AUG 2003,15 AUG 2003,7500,1,86581,2,94081,https://worldathletics.org/records/competition-performance-rankings/ranking/445353
3,537160,"Paris-St-Denis Meeting Gaz de France, Paris",FRA,04 JUL 2003,04 JUL 2003,7500,1,86420,4,93920,https://worldathletics.org/records/competition-performance-rankings/ranking/537160
4,537136,"Roma Golden Gala, Stadio Olimpico, Roma",ITA,11 JUL 2003,11 JUL 2003,7350,4,86555,3,93905,https://worldathletics.org/records/competition-performance-rankings/ranking/537136
5,537060,"Athletissima Lausanne, Stade Olympique de la Pontaise, Lausanne",SUI,01 JUL 2003,01 JUL 2003,6710,5,85236,6,91946,https://worldathletics.org/records/competition-performance-rankings/ranking/537060
6,533672,"Trikala Tsiklitiria, Trikala",GRE,24 JUN 2003,24 JUN 2003,5895,8,84877,7,90772,https://worldathletics.org/records/competition-performance-rankings/ranking/533672
7,533669,"Golden Spike Super Grand Prix, Ostrava",CZE,12 JUN 2003,12 JUN 2003,5430,12,85328,5,90758,https://worldathletics.org/records/competition-performance-rankings/ranking/533669
8,378172,"Oslo ExxonMobil Bislett Games, Oslo",NOR,27 JUN 2003,27 JUN 2003,6035,6,84531,10,90566,https://worldathletics.org/records/competition-performance-rankings/ranking/378172
9,537089,"Stockholm DN Galan, Stockholm",SWE,05 AUG 2003,05 AUG 2003,5840,9,84610,8,90450,https://worldathletics.org/records/competition-performance-rankings/ranking/537089
10,537209,"Berlin ISTAF, Olympiastadion, Berlin",GER,10 AUG 2003,10 AUG 2003,6010,7,84364,11,90374,https://worldathletics.org/records/competition-performance-rankings/ranking/537209
11,533681,"London Norwich Union British Grand Prix, Crystal Palace, London",GBR,08 AUG 2003,08 AUG 2003,5585,10,84551,9,90136,https://worldathletics.org/records/competition-performance-rankings/ranking/533681
12,533658,"Eugene Prefontaine Classic, Eugene, OR",USA,24 MAY 2003,24 MAY 2003,5065,13,83985,12,89050,https://worldathletics.org/records/competition-performance-rankings/ranking/533658
13,537150,"Gateshead Norwich Union Super League, Gateshead",GBR,13 JUL 2003,13 JUL 2003,5435,11,82999,17,88434,https://worldathletics.org/records/competition-performance-rankings/ranking/537150
14,427078,"Madrid Meeting 2012, Madrid",ESP,19 JUL 2003,19 JUL 2003,4470,14,83787,14,88257,https://worldathletics.org/records/competition-performance-rankings/ranking/427078
15,476975,"Rieti 2003, Rieti",ITA,07 SEP 2003,07 SEP 2003,4060,17,83600,15,87660,https://worldathletics.org/records/competition-performance-rankings/ranking/476975
16,533678,"Sevilla Meeting de Atletismo, Sevilla",ESP,07 JUN 2003,07 JUN 2003,4220,16,83433,16,87653,https://worldathletics.org/records/competition-performance-rankings/ranking/533678
