place,competitionId,competition,country,startDate,endDate,partScore,participationScorePlace,resultScore,resultScorePlace,competitionScore,competitionUrl
1,623656,"Prefontaine Classic, Hayward Field, Eugene, OR",USA,16 SEP 2023,17 SEP 2023,8820,1,90096,1,99156,https://worldathletics.org/records/competition-performance-rankings/ranking/623656
2,622647,"Silesia Kamila Skolimowska Memorial, Stadion Śląski, Chorzów",POL,16 JUL 2023,16 JUL 2023,7460,3,87930,3,95390,https://worldathletics.org/records/competition-performance-rankings/ranking/622647
3,623451,"Weltklasse Zürich, Letzigrund, Zürich",SUI,30 AUG 2023,31 AUG 2023,7490,2,87493,6,94983,https://worldathletics.org/records/competition-performance-rankings/ranking/623451
4,622819,"London Athletics Meet, Olympic Stadium, London",GBR,23 JUL 2023,23 JUL 2023,6845,7,88079,2,94924,https://worldathletics.org/records/competition-performance-rankings/ranking/622819
5,621719,"Oslo Bislett Games, Bislett Stadion, Oslo",NOR,15 JUN 2023,15 JUN 2023,7290,5,87564,5,94854,https://worldathletics.org/records/competition-performance-rankings/ranking/621719
6,621439,"Meeting de Paris, Stade Charléty, Paris",FRA,09 JUN 2023,09 JUN 2023,7360,4,87252,8,94852,https://worldathletics.org/records/competition-performance-rankings/ranking/621439
7,622775,"Herculis Meeting International d’Athlétisme EBS, Stade Louis II, Monaco",MON,21 JUL 2023,21 JUL 2023,6500,10,87860,4,94480,https://worldathletics.org/records/competition-performance-rankings/ranking/622775
8,623460,"Memorial van Damme, Boudewijnstadion, Bruxelles",BEL,07 SEP 2023,08 SEP 2023,6525,9,87341,7,93986,https://worldathletics.org/records/competition-performance-rankings/ranking/623460
9,621180,"Golden Gala Pietro Mennea, Stadio Luigi Ridolfi, Firenze",ITA,02 JUN 2023,02 JUN 2023,7000,6,86567,11,93687,https://worldathletics.org/records/competition-performance-rankings/ranking/621180
10,622251,"Athletissima Lausanne, Stade Olympique de la Pontaise, Lausanne",SUI,29 JUN 2023,30 JUN 2023,6480,12,86722,10,93202,https://worldathletics.org/records/competition-performance-rankings/ranking/622251
11,620929,"USATF Los Angeles Grand Prix, Drake Stadium, Los Angeles, CA",USA,26 MAY 2023,27 MAY 2023,5900,14,86729,9,92749,https://worldathletics.org/records/competition-performance-rankings/ranking/620929
12,620078,"Diamond League Meeting, Suhaim bin Hamad Stadium, Doha",QAT,05 MAY 2023,05 MAY 2023,6620,8,86100,14,92720,https://worldathletics.org/records/competition-performance-rankings/ranking/620078
13,620982,"Meeting International Mohammed VI d'Athletisme de Rabat, Complexe Sportif Prince Moulay Abdellah, Rabat",MAR,28 MAY 2023,28 MAY 2023,6500,10,85594,16,92094,https://worldathletics.org/records/competition-performance-rankings/ranking/620982
14,623347,"Wanda Diamond League Xiamen, Egret Stadium, Xiamen",CHN,02 SEP 2023,02 SEP 2023,5370,15,86138,12,91508,https://worldathletics.org/records/competition-performance-rankings/ranking/623347
15,622711,"Gyulai István Memorial - Hungarian Athletics Grand Prix, Bregyó Athletic Center, Székesfehérvár",HUN,18 JUL 2023,18 JUL 2023,5275,16,86101,13,91376,https://worldathletics.org/records/competition-performance-rankings/ranking/622711
16,622312,"BAUHAUS-Galan, Olympiastadion, Stockholm",SWE,02 JUL 2023,02 JUL 2023,5910,13,84789,23,90699,https://worldathletics.org/records/competition-performance-rankings/ranking/622312
17,623523,"Memorial Borisa Hanžekovića, Sports Park Mladost, Zagreb",CRO,08 SEP 2023,10 SEP 2023,3740,19,85120,19,88860,https://worldathletics.org/records/competition-performance-rankings/ranking/623523
18,621253,"FBK Games, FBK Stadium, Hengelo",NED,03 JUN 2023,04 JUN 2023,3605,22,85062,20,88667,https://worldathletics.org/records/competition-performance-rankings/ranking/621253
19,621635,"Paavo Nurmi Games, Paavo Nurmen Stadion, Turku",FIN,13 JUN 2023,13 JUN 2023,3980,18,84619,25,88599,https://worldathletics.org/records/competition-performance-rankings/ranking/621635
20,619532,"Tom Jones Memorial, Percy Beard Track, Gainesville, FL",USA,14 APR 2023,15 APR 2023,2585,28,85994,15,88579,https://worldathletics.org/records/competition-performance-rankings/ranking/619532
21,622174,"62nd Ostrava Golden Spike, Mestský Stadion, Ostrava",CZE,27 JUN 2023,27 JUN 2023,3735,20,84824,22,88559,https://worldathletics.org/records/competition-performance-rankings/ranking/622174
22,623430,"Gala dei Castelli, Stadio Comunale, Bellinzona",SUI,03 SEP 2023,04 SEP 2023,4040,17,84510,26,88550,https://worldathletics.org/records/competition-performance-rankings/ranking/623430
23,622040,"USATF NYC Grand Prix, Icahn Stadium, New York, NY",USA,24 JUN 2023,24 JUN 2023,3650,21,84623,24,88273,https://worldathletics.org/records/competition-performance-rankings/ranking/622040
24,621353,"5th Irena Szewińska Memorial, Zdzisław Krzyszkowiak Stadium, Bydgoszcz",POL,06 JUN 2023,06 JUN 2023,3560,23,84256,28,87816,https://worldathletics.org/records/competition-performance-rankings/ranking/621353
25,623027,"Ed Murphey Classic, Rhodes College, Memphis, TN",USA,04 AUG 2023,05 AUG 2023,2690,27,84875,21,87565,https://worldathletics.org/records/competition-performance-rankings/ranking/623027
26,620889,"Kip Keino Classic, Moi International Sports Centre, Kasarani, Nairobi",KEN,13 MAY 2023,13 MAY 2023,3415,24,84149,31,87564,https://worldathletics.org/records/competition-performance-rankings/ranking/620889
27,622805,"Spitzen Leichathletik Luzern, Stadion Allmend, Luzern",SUI,20 JUL 2023,20 JUL 2023,2485,30,84431,27,86916,https://worldathletics.org/records/competition-performance-rankings/ranking/622805
28,621269,"69° ORLEN Janusz Kusociński Memorial, Stadion Śląski, Chorzów",POL,04 JUN 2023,04 JUN 2023,3045,25,83688,35,86733,https://worldathletics.org/records/competition-performance-rankings/ranking/621269
29,619355,"Clyde Littlefield Texas Relays presented by Truist, Mike A. Myers Stadium, Austin, TX",USA,29 MAR 2023,01 APR 2023,1470,48,85191,18,86661,https://worldathletics.org/records/competition-performance-rankings/ranking/619355
30,620400,"SEC Outdoor Track & Field Championships, LSU Bernie Moore Stadium, Baton Rouge, LA",USA,11 MAY 2023,13 MAY 2023,1135,66,85395,17,86530,https://worldathletics.org/records/competition-performance-rankings/ranking/620400
31,620688,"USATF Bermuda Grand Prix, Flora Duffy Stadium, Devonshire",BER,21 MAY 2023,21 MAY 2023,2325,31,84152,30,86477,https://worldathletics.org/records/competition-performance-rankings/ranking/620688
32,620049,"Botswana Golden Grand Prix, National Stadium, Gaborone",BOT,29 APR 2023,29 APR 2023,2230,33,83946,34,86176,https://worldathletics.org/records/competition-performance-rankings/ranking/620049
33,622799,"Meeting Madrid, Estadio Vallehermoso, Madrid",ESP,21 JUL 2023,22 JUL 2023,1790,40,84240,29,86030,https://worldathletics.org/records/competition-performance-rankings/ranking/622799
34,623373,"ISTAF, Olympiastadion, Berlin",GER,03 SEP 2023,03 SEP 2023,2815,26,83137,41,85952,https://worldathletics.org/records/competition-performance-rankings/ranking/623373
35,619655,"Mt. SAC Relays, Hilmer Lodge Stadium, Walnut, CA",USA,12 APR 2023,15 APR 2023,1850,38,84017,32,85867,https://worldathletics.org/records/competition-performance-rankings/ranking/619655
36,623449,"59. Palio Citta' della Quercia, Stadio Quercia, Rovereto",ITA,06 SEP 2023,06 SEP 2023,2270,32,83118,42,85388,https://worldathletics.org/records/competition-performance-rankings/ranking/623449
37,621238,"Montreuil International Meeting, Stade des Grands Pêchers, Montreuil",FRA,31 MAY 2023,31 MAY 2023,2030,36,83270,39,85300,https://worldathletics.org/records/competition-performance-rankings/ranking/621238
38,621235,"Music City Track Carnival, Vanderbilt Track, Nashville, TN",USA,02 JUN 2023,03 JUN 2023,1310,56,83987,33,85297,https://worldathletics.org/records/competition-performance-rankings/ranking/621235
39,620647,"Seiko Golden Grand Prix, International Stadium, Yokohama",JPN,21 MAY 2023,21 MAY 2023,2045,35,83166,40,85211,https://worldathletics.org/records/competition-performance-rankings/ranking/620647
40,623030,"CITIUS Meeting, Stadion Wankdorf, Bern",SUI,04 AUG 2023,04 AUG 2023,1655,42,83437,38,85092,https://worldathletics.org/records/competition-performance-rankings/ranking/623030
41,621451,"Atletica Geneve - EAP, Centre sportif Bout-du-Monde, Genève",SUI,10 JUN 2023,10 JUN 2023,1390,52,83570,36,84960,https://worldathletics.org/records/competition-performance-rankings/ranking/621451
42,619412,"Miramar Invitational, Ansin Sports Complex, Miramar, FL",USA,08 APR 2023,08 APR 2023,1840,39,82938,43,84778,https://worldathletics.org/records/competition-performance-rankings/ranking/619412
43,622458,"Meeting International de Sotteville 2023, Stade Sottevillais 76, Sotteville-lès-Rouen",FRA,07 JUL 2023,07 JUL 2023,1995,37,82346,48,84341,https://worldathletics.org/records/competition-performance-rankings/ranking/622458
44,619342,"Pepsi Florida Relays, Percy Beard Track, Gainesville, FL",USA,31 MAR 2023,01 APR 2023,775,93,83553,37,84328,https://worldathletics.org/records/competition-performance-rankings/ranking/619342
45,620081,"Drake Relays, Drake Stadium, Des Moines, IA",USA,26 APR 2023,29 APR 2023,2525,29,81505,62,84030,https://worldathletics.org/records/competition-performance-rankings/ranking/620081
46,621248,"Racers Grand Prix, National Stadium, Kingston",JAM,03 JUN 2023,03 JUN 2023,2120,34,81859,58,83979,https://worldathletics.org/records/competition-performance-rankings/ranking/621248
47,623419,"36th Meeting Citta' Di Padova, Stadio Colbachini, Padova",ITA,03 SEP 2023,03 SEP 2023,1480,47,82357,47,83837,https://worldathletics.org/records/competition-performance-rankings/ranking/623419
48,621852,"Meeting Stanislas Nancy, Stade Raymond Petit, Tomblaine",FRA,18 JUN 2023,18 JUN 2023,1270,59,82444,45,83714,https://worldathletics.org/records/competition-performance-rankings/ranking/621852
49,619893,"LSU Invitational, LSU Bernie Moore Stadium, Baton Rouge, LA",USA,29 APR 2023,29 APR 2023,1350,54,82303,50,83653,https://worldathletics.org/records/competition-performance-rankings/ranking/619893
50,622637,"Night of Athletics, Stadion De Veen, Heusden-Zolder",BEL,15 JUL 2023,15 JUL 2023,1045,70,82607,44,83652,https://worldathletics.org/records/competition-performance-rankings/ranking/622637
51,619752,"LSU Alumni Gold, LSU Bernie Moore Stadium, Baton Rouge, LA",USA,22 APR 2023,22 APR 2023,1325,55,82322,49,83647,https://worldathletics.org/records/competition-performance-rankings/ranking/619752
