place,competitionId,competition,country,startDate,endDate,partScore,participationScorePlace,resultScore,resultScorePlace,competitionScore,competitionUrl
1,584127,"Monaco Herculis, Stade Louis II, Monaco",MON,19 JUL 2018,20 JUL 2018,8010,4,87855,1,95985,https://worldathletics.org/records/competition-performance-rankings/ranking/584127
2,583175,"Eugene Prefontaine Classic, Hayward Field, Eugene, OR",USA,25 MAY 2018,26 MAY 2018,8470,2,86965,4,95435,https://worldathletics.org/records/competition-performance-rankings/ranking/583175
3,584800,"Weltklasse Zürich, Letzigrund, Zürich",SUI,29 AUG 2018,30 AUG 2018,8490,1,86695,6,95185,https://worldathletics.org/records/competition-performance-rankings/ranking/584800
4,584808,"Bruxelles Memorial van Damme, Boudewijnstadion, Bruxelles",BEL,30 AUG 2018,31 AUG 2018,8370,3,86804,5,95174,https://worldathletics.org/records/competition-performance-rankings/ranking/584808
5,584142,"London Müller Anniversary Games, Olympic Stadium, London",GBR,21 JUL 2018,22 JUL 2018,7640,5,87494,2,95134,https://worldathletics.org/records/competition-performance-rankings/ranking/584142
6,583836,"Meeting de Paris, Stade Charléty, Paris",FRA,30 JUN 2018,30 JUN 2018,7480,7,87288,3,94768,https://worldathletics.org/records/competition-performance-rankings/ranking/583836
7,583914,"Athletissima Lausanne, Stade Olympique de la Pontaise, Lausanne",SUI,04 JUL 2018,05 JUL 2018,7570,6,86641,7,94211,https://worldathletics.org/records/competition-performance-rankings/ranking/583914
8,584076,"Meeting International Mohammed VI d'Athletisme de Rabat, Complexe Sportif Prince Moulay Abdellah, Rabat",MAR,13 JUL 2018,13 JUL 2018,6925,9,86170,8,93095,https://worldathletics.org/records/competition-performance-rankings/ranking/584076
9,583269,"Roma Golden Gala - Pietro Mennea, Stadio Olimpico, Roma",ITA,31 MAY 2018,31 MAY 2018,7120,8,85921,10,93041,https://worldathletics.org/records/competition-performance-rankings/ranking/583269
10,582724,"Doha IAAF Diamond League, Suhaim bin Hamad Stadium, Doha",QAT,04 MAY 2018,04 MAY 2018,6880,11,86143,9,93023,https://worldathletics.org/records/competition-performance-rankings/ranking/582724
11,582839,"Shanghai IAAF Diamond League, Shanghai Stadium, Shanghai",CHN,12 MAY 2018,12 MAY 2018,6920,10,85737,11,92657,https://worldathletics.org/records/competition-performance-rankings/ranking/582839
12,583416,"Oslo Bislett Games, Bislett Stadion, Oslo",NOR,07 JUN 2018,07 JUN 2018,6675,13,85572,13,92247,https://worldathletics.org/records/competition-performance-rankings/ranking/583416
