place,competitionId,competition,country,startDate,endDate,partScore,participationScorePlace,resultScore,resultScorePlace,competitionScore,competitionUrl
702,606143,"Gjensidige UM Friidrett, Trondheim Stadion, Trondheim",NOR,03 SEP 2021,05 SEP 2021,0,,66269,700,66269,https://worldathletics.org/records/competition-performance-rankings/ranking/606143
703,603503,"Kip Janvrin Open, Simpson College, Indianola, IA",USA,23 APR 2021,23 APR 2021,0,,66256,702,66256,https://worldathletics.org/records/competition-performance-rankings/ranking/603503
704,603623,"Alex Francis Track & Field Classic, FHSU Fort Hays T& F Complex, Hays, KS",USA,30 APR 2021,30 APR 2021,0,,66245,703,66245,https://worldathletics.org/records/competition-performance-rankings/ranking/603623
705,606503,"82nd Nagoya District Summer Competition, Municipal Mizuho Stadium, Nagoya",JPN,12 JUN 2021,13 JUN 2021,0,,66236,704,66236,https://worldathletics.org/records/competition-performance-rankings/ranking/606503
706,603879,"Regional Meeting, Stadio Paolo Rosi, Roma",ITA,08 MAY 2021,09 MAY 2021,0,,66232,706,66232,https://worldathletics.org/records/competition-performance-rankings/ranking/603879
707,603352,"Sam Adams Classic, Puryear Field at the Pine Bowl/Boppell Track, Spokane, WA",USA,17 APR 2021,17 APR 2021,0,,66221,707,66221,https://worldathletics.org/records/competition-performance-rankings/ranking/603352
708,605500,"Summer Meeting, Stadion Zygmunta Szelesta, Warszawa",POL,18 JUL 2021,18 JUL 2021,30,480,66187,709,66217,https://worldathletics.org/records/competition-performance-rankings/ranking/605500
709,606549,"AAU Junior Olympic Gulf District, Challenger Stadium, Webster, TX",USA,17 JUN 2021,19 JUN 2021,0,,66206,708,66206,https://worldathletics.org/records/competition-performance-rankings/ranking/606549
710,602925,"7th Takamatsu City Record Meeting, Yashima Rexxam Field, Takamatsu",JPN,21 MAR 2021,21 MAR 2021,10,637,66160,712,66170,https://worldathletics.org/records/competition-performance-rankings/ranking/602925
711,602558,"Velocity Fest #8, National Stadium, Kingston",JAM,20 MAR 2021,20 MAR 2021,390,133,65779,744,66169,https://worldathletics.org/records/competition-performance-rankings/ranking/602558
712,603811,"Crossroads League Outdoor Championships, Grace College Benard and Linnie Key T&F Complex, Winona Lake, IN",USA,06 MAY 2021,07 MAY 2021,0,,66167,710,66167,https://worldathletics.org/records/competition-performance-rankings/ranking/603811
713,605382,"Meeting Internazionale su Pista Regione FVG, Polisportivo Guido Maccan, Brugnera",ITA,10 JUL 2021,10 JUL 2021,20,545,66145,713,66165,https://worldathletics.org/records/competition-performance-rankings/ranking/605382
714,605161,"Midtsommer Stevnet, Stampesletta, Lillehammer",NOR,26 JUN 2021,27 JUN 2021,0,,66161,711,66161,https://worldathletics.org/records/competition-performance-rankings/ranking/605161
715,603443,"Tokai Student Spring Tournament, Ryuhoku Stadium, Okazaki",JPN,10 APR 2021,11 APR 2021,0,,66130,714,66130,https://worldathletics.org/records/competition-performance-rankings/ranking/603443
716,603487,"Spanish Club Championships, San Sebastián",ESP,24 APR 2021,24 APR 2021,50,401,66066,716,66116,https://worldathletics.org/records/competition-performance-rankings/ranking/603487
717,604278,"1. memorial Roberta Preloga, Mestni stadion, Ptuj",SLO,27 MAY 2021,27 MAY 2021,140,252,65975,723,66115,https://worldathletics.org/records/competition-performance-rankings/ranking/604278
718,605066,"4th Juntendo University Competition, Juntendo University Stadium, Inzai",JPN,12 JUN 2021,12 JUN 2021,15,588,66095,715,66110,https://worldathletics.org/records/competition-performance-rankings/ranking/605066
719,602175,"CGA Open Meet One, Stadium, Boksburg",RSA,20 FEB 2021,20 FEB 2021,55,381,66036,717,66091,https://worldathletics.org/records/competition-performance-rankings/ranking/602175
720,604262,"Open Season Competition, Znamenskikh Stadion, Moskva",RUS,11 MAY 2021,12 MAY 2021,50,401,66030,719,66080,https://worldathletics.org/records/competition-performance-rankings/ranking/604262
721,604461,"Meeting Citta' di Conegliano, Stadio Narciso Soldan, Conegliano",ITA,02 JUN 2021,02 JUN 2021,205,201,65836,737,66041,https://worldathletics.org/records/competition-performance-rankings/ranking/604461
722,604264,"Regional Meeting, Stadio Zatopek, Campi Bisenzio",ITA,22 MAY 2021,23 MAY 2021,0,,66032,718,66032,https://worldathletics.org/records/competition-performance-rankings/ranking/604264
