place,competitionId,competition,country,startDate,endDate,partScore,participationScorePlace,resultScore,resultScorePlace,competitionScore,competitionUrl
1,537154,"Bruxelles Memorial Van Damme, Boudewijnstadion, Bruxelles",BEL,14 SEP 2007,14 SEP 2007,7020,4,86650,1,93670,https://worldathletics.org/records/competition-performance-rankings/ranking/537154
2,537079,"Roma Golden Gala, Stadio Olimpico, Roma",ITA,13 JUL 2007,13 JUL 2007,6825,5,85572,4,92397,https://worldathletics.org/records/competition-performance-rankings/ranking/537079
3,396464,"Athens Grand Prix Tsiklitiria, Olympic Stadium, Athina",GRE,02 JUL 2007,02 JUL 2007,6330,7,85915,2,92245,https://worldathletics.org/records/competition-performance-rankings/ranking/396464
4,537084,"Athletissima Lausanne, Stade Olympique de la Pontaise, Lausanne",SUI,10 JUL 2007,10 JUL 2007,7060,3,84906,8,91966,https://worldathletics.org/records/competition-performance-rankings/ranking/537084
5,415146,"Paris-St-Denis Meeting Gaz de France, Stade de France, Paris-St-Denis",FRA,06 JUL 2007,06 JUL 2007,6595,6,85058,6,91653,https://worldathletics.org/records/competition-performance-rankings/ranking/415146
6,537137,"Berlin ISTAF, Olympiastadion, Berlin",GER,16 SEP 2007,16 SEP 2007,7175,2,84250,13,91425,https://worldathletics.org/records/competition-performance-rankings/ranking/537137
7,537203,"Weltklasse Zürich, Letzigrund, Zürich",SUI,07 SEP 2007,07 SEP 2007,7360,1,84036,16,91396,https://worldathletics.org/records/competition-performance-rankings/ranking/537203
8,447804,"Stockholm DN Galan, Stockholm",SWE,07 AUG 2007,07 AUG 2007,5850,9,85202,5,91052,https://worldathletics.org/records/competition-performance-rankings/ranking/447804
9,520852,"Oslo ExxonMobil Bislett Games, Oslo",NOR,15 JUN 2007,15 JUN 2007,6235,8,84615,11,90970,https://worldathletics.org/records/competition-performance-rankings/ranking/520852
10,380914,"Monaco Herculis, Stade Louis II, Monaco",MON,25 JUL 2007,25 JUL 2007,5325,12,85595,3,90920,https://worldathletics.org/records/competition-performance-rankings/ranking/380914
11,455135,"Eugene Prefontaine Classic, Eugene, OR",USA,10 JUN 2007,10 JUN 2007,5720,10,84761,10,90481,https://worldathletics.org/records/competition-performance-rankings/ranking/455135
12,388655,"Rieti 2007, Stadio Guidobaldi, Rieti",ITA,09 SEP 2007,09 SEP 2007,5210,13,84784,9,90114,https://worldathletics.org/records/competition-performance-rankings/ranking/388655
13,518731,"Golden Spike IAAF Super Grand Prix, Ostrava",CZE,26 JUN 2007,27 JUN 2007,5660,11,83816,19,89626,https://worldathletics.org/records/competition-performance-rankings/ranking/518731
14,473719,"Carson adidas Track Classic, Carson, CA",USA,20 MAY 2007,20 MAY 2007,4270,20,84939,7,89209,https://worldathletics.org/records/competition-performance-rankings/ranking/473719
15,373363,"Doha Qatar Athletics Super Grand Prix, Doha",QAT,11 MAY 2007,11 MAY 2007,5040,14,84129,14,89169,https://worldathletics.org/records/competition-performance-rankings/ranking/373363
16,461177,"New York Reebok Grand Prix, Icahn Stadium, New York, NY",USA,02 JUN 2007,02 JUN 2007,4495,18,84559,12,89054,https://worldathletics.org/records/competition-performance-rankings/ranking/461177
17,379777,"Hengelo THALES FBK-Games, FBK Stadium, Hengelo",NED,26 MAY 2007,26 MAY 2007,4470,19,84046,15,88516,https://worldathletics.org/records/competition-performance-rankings/ranking/379777
