place,competitionId,competition,country,startDate,endDate,partScore,participationScorePlace,resultScore,resultScorePlace,competitionScore,competitionUrl
1,564994,"Monaco Herculis, Stade Louis II, Monaco",MON,17 JUL 2015,17 JUL 2015,8090,6,87739,1,95949,https://worldathletics.org/records/competition-performance-rankings/ranking/564994
2,564267,"Eugene Prefontaine Classic, Hayward Field, Eugene, OR",USA,29 MAY 2015,30 MAY 2015,8510,1,87243,2,95753,https://worldathletics.org/records/competition-performance-rankings/ranking/564267
3,564836,"Paris Meeting AREVA, Stade de France, Paris-St-Denis",FRA,04 JUL 2015,04 JUL 2015,8440,3,87122,3,95562,https://worldathletics.org/records/competition-performance-rankings/ranking/564836
4,565090,"London Sainsbury's Anniversary Games, Olympic Stadium, London",GBR,24 JUL 2015,25 JUL 2015,7690,8,86591,4,94281,https://worldathletics.org/records/competition-performance-rankings/ranking/565090
5,564894,"Athletissima Lausanne, Stade Olympique de la Pontaise, Lausanne",SUI,09 JUL 2015,09 JUL 2015,8270,5,85838,6,94108,https://worldathletics.org/records/competition-performance-rankings/ranking/564894
6,565551,"Bruxelles Memorial Van Damme, Boudewijnstadion, Bruxelles",BEL,11 SEP 2015,11 SEP 2015,8380,4,85718,7,94098,https://worldathletics.org/records/competition-performance-rankings/ranking/565551
7,564387,"Roma Golden Gala - Pietro Mennea, Stadio Olimpico, Roma",ITA,04 JUN 2015,04 JUN 2015,7870,7,86155,5,94025,https://worldathletics.org/records/competition-performance-rankings/ranking/564387
8,565441,"Weltklasse Zürich, Letzigrund, Zürich",SUI,02 SEP 2015,03 SEP 2015,8500,2,85261,9,93761,https://worldathletics.org/records/competition-performance-rankings/ranking/565441
9,563952,"Doha IAAF Diamond League, Suhaim bin Hamad Stadium, Doha",QAT,15 MAY 2015,15 MAY 2015,7570,9,85529,8,93099,https://worldathletics.org/records/competition-performance-rankings/ranking/563952
10,564423,"Birmingham British Athletics Grand Prix, Alexander Stadium, Birmingham",GBR,07 JUN 2015,07 JUN 2015,7115,11,84567,11,91682,https://worldathletics.org/records/competition-performance-rankings/ranking/564423
11,563977,"Shanghai Golden Grand Prix, Shanghai Stadium, Shanghai",CHN,17 MAY 2015,17 MAY 2015,7325,10,84260,12,91585,https://worldathletics.org/records/competition-performance-rankings/ranking/563977
12,564566,"New York adidas Grand Prix, Icahn Stadium, New York, NY",USA,13 JUN 2015,13 JUN 2015,6470,13,85060,10,91530,https://worldathletics.org/records/competition-performance-rankings/ranking/564566
13,564512,"Oslo ExxonMobil Bislett Games, Bislett Stadion, Oslo",NOR,11 JUN 2015,11 JUN 2015,6835,12,84253,13,91088,https://worldathletics.org/records/competition-performance-rankings/ranking/564512
14,565149,"Stockholm BAUHAUS Athletics, Olympiastadion, Stockholm",SWE,29 JUL 2015,30 JUL 2015,5975,14,84005,14,89980,https://worldathletics.org/records/competition-performance-rankings/ranking/565149
15,564883,"Gyulai István Memorial - Hungarian Athletics Grand Prix, Bregyó Athletic Center, Székesfehérvár",HUN,07 JUL 2015,07 JUL 2015,5230,17,83584,16,88814,https://worldathletics.org/records/competition-performance-rankings/ranking/564883
16,566731,"Berlin ISTAF, Olympiastadion, Berlin",GER,06 SEP 2015,06 SEP 2015,5240,16,82890,21,88130,https://worldathletics.org/records/competition-performance-rankings/ranking/566731
17,564556,"Meeting International Mohammed VI d'Athletisme de Rabat, Complexe Sportif Prince Moulay Abdellah, Rabat",MAR,14 JUN 2015,14 JUN 2015,4915,18,83044,20,87959,https://worldathletics.org/records/competition-performance-rankings/ranking/564556
18,563819,"Kingston Jamaica International Invitational IWC, National Stadium, Kingston",JAM,09 MAY 2015,09 MAY 2015,3820,21,83936,15,87756,https://worldathletics.org/records/competition-performance-rankings/ranking/563819
19,564097,"Beijing IAAF World Challenge, National Stadium, Beijing",CHN,20 MAY 2015,20 MAY 2015,4255,19,83381,19,87636,https://worldathletics.org/records/competition-performance-rankings/ranking/564097
20,564180,"Golden Spike Ostrava 2015, Mestský Stadion, Ostrava",CZE,25 MAY 2015,26 MAY 2015,5285,15,82328,26,87613,https://worldathletics.org/records/competition-performance-rankings/ranking/564180
21,564971,"Luzern Spitzen Leichtathletik, Luzern",SUI,14 JUL 2015,14 JUL 2015,3430,22,83426,17,86856,https://worldathletics.org/records/competition-performance-rankings/ranking/564971
22,565490,"Zagreb IAAF World Challenge, Sports Park Mladost, Zagreb",CRO,07 SEP 2015,08 SEP 2015,3900,20,82383,24,86283,https://worldathletics.org/records/competition-performance-rankings/ranking/565490
23,564916,"Madrid Meeting 2015, Moratalaz, Madrid",ESP,11 JUL 2015,11 JUL 2015,2670,27,83415,18,86085,https://worldathletics.org/records/competition-performance-rankings/ranking/564916
24,564143,"Hengelo FBK Games, FBK Stadium, Hengelo",NED,24 MAY 2015,24 MAY 2015,2835,23,82361,25,85196,https://worldathletics.org/records/competition-performance-rankings/ranking/564143
25,563824,"Kawasaki Seiko Golden Grand Prix, Todoroki Stadium, Kawasaki",JPN,10 MAY 2015,10 MAY 2015,2780,25,82241,27,85021,https://worldathletics.org/records/competition-performance-rankings/ranking/563824
26,565007,"Heusden-Zolder KBC Night of Athletics, Heusden-Zolder",BEL,18 JUL 2015,18 JUL 2015,1740,37,82886,22,84626,https://worldathletics.org/records/competition-performance-rankings/ranking/565007
27,565563,"Rieti IAAF World Challenge, Stadio Guidobaldi, Rieti",ITA,12 SEP 2015,13 SEP 2015,2680,26,81717,31,84397,https://worldathletics.org/records/competition-performance-rankings/ranking/565563
28,564976,"Edmonton TrackTown Classic, Edmonton",CAN,11 JUL 2015,12 JUL 2015,1770,36,82432,23,84202,https://worldathletics.org/records/competition-performance-rankings/ranking/564976
29,564441,"Memoriál Josefa Odložila, Stadion Juliska, Praha",CZE,08 JUN 2015,08 JUN 2015,2380,30,81480,33,83860,https://worldathletics.org/records/competition-performance-rankings/ranking/564441
30,564860,"Sotteville-lès-Rouen Meeting International, Sotteville-lès-Rouen",FRA,06 JUL 2015,06 JUL 2015,2090,31,81515,32,83605,https://worldathletics.org/records/competition-performance-rankings/ranking/564860
31,565054,"Bellinzona Galà dei Castelli, Bellinzona",SUI,21 JUL 2015,21 JUL 2015,1820,34,81741,30,83561,https://worldathletics.org/records/competition-performance-rankings/ranking/565054
32,565248,"Janusz Kusociński Memorial, Wieslaw Maniak Municipal Athletic Stadium, Szczecin",POL,09 AUG 2015,09 AUG 2015,2820,24,80526,35,83346,https://worldathletics.org/records/competition-performance-rankings/ranking/565248
33,564819,"Meeting Stanislas Nancy, Stade Raymond Petit, Tomblaine",FRA,01 JUL 2015,01 JUL 2015,1400,45,81790,28,83190,https://worldathletics.org/records/competition-performance-rankings/ranking/564819
34,564736,"Turku Paavo Nurmi Games, Turku",FIN,25 JUN 2015,25 JUN 2015,2510,29,80608,34,83118,https://worldathletics.org/records/competition-performance-rankings/ranking/564736
35,563462,"Gainesville Tom Jones Memorial, Gainesville, FL",USA,24 APR 2015,24 APR 2015,1310,46,81749,29,83059,https://worldathletics.org/records/competition-performance-rankings/ranking/563462
36,564462,"Montreuil-sous-Bois Meeting International, Montreuil-sous-Bois",FRA,09 JUN 2015,09 JUN 2015,1925,32,80043,40,81968,https://worldathletics.org/records/competition-performance-rankings/ranking/564462
37,565491,"Rovereto Palio Città della Quercia, Rovereto",ITA,08 SEP 2015,08 SEP 2015,1835,33,80062,39,81897,https://worldathletics.org/records/competition-performance-rankings/ranking/565491
38,564162,"Ponce Grand Prix, Ponce",PUR,23 MAY 2015,23 MAY 2015,1415,44,80409,36,81824,https://worldathletics.org/records/competition-performance-rankings/ranking/564162
39,565564,"Paris Décanation, Paris",FRA,13 SEP 2015,13 SEP 2015,2525,28,79226,51,81751,https://worldathletics.org/records/competition-performance-rankings/ranking/565564
40,564747,"Sopot Janusz Sidło Memorial, Sopot",POL,27 JUN 2015,27 JUN 2015,1705,39,79876,41,81581,https://worldathletics.org/records/competition-performance-rankings/ranking/564747
41,563642,"Palo Alto Payton Jordan Invitational, Palo Alto, CA",USA,02 MAY 2015,02 MAY 2015,1065,52,80309,38,81374,https://worldathletics.org/records/competition-performance-rankings/ranking/563642
42,565200,"Atlanta American Track League, Atlanta, GA",USA,01 AUG 2015,01 AUG 2015,1600,40,79585,45,81185,https://worldathletics.org/records/competition-performance-rankings/ranking/565200
43,563653,"Baie Mahault Meeting Caraibes Région, Baie Mahault",FRA,02 MAY 2015,02 MAY 2015,1710,38,79468,46,81178,https://worldathletics.org/records/competition-performance-rankings/ranking/563653
44,563975,"Clermont NTC Pure Athletics Sprint Elite Meet, Clermont, FL",USA,16 MAY 2015,16 MAY 2015,725,63,80329,37,81054,https://worldathletics.org/records/competition-performance-rankings/ranking/563975
45,564277,"Dessau Anhalt 2015, Dessau",GER,29 MAY 2015,29 MAY 2015,1600,40,79203,52,80803,https://worldathletics.org/records/competition-performance-rankings/ranking/564277
46,564987,"Liège Meeting international de la province de Liège, Liège",BEL,15 JUL 2015,15 JUL 2015,915,56,79829,43,80744,https://worldathletics.org/records/competition-performance-rankings/ranking/564987
47,565191,"Ninove Memorial Geert Rasschaert, Ninove",BEL,01 AUG 2015,01 AUG 2015,690,67,79831,42,80521,https://worldathletics.org/records/competition-performance-rankings/ranking/565191
48,564430,"Genève AtletiCAGenève, Genève",SUI,06 JUN 2015,06 JUN 2015,600,78,79748,44,80348,https://worldathletics.org/records/competition-performance-rankings/ranking/564430
49,564502,"Huelva Meeting Iberoamericano de Atletismo, Huelva",ESP,10 JUN 2015,10 JUN 2015,905,57,79358,48,80263,https://worldathletics.org/records/competition-performance-rankings/ranking/564502
