place,competitionId,competition,country,startDate,endDate,partScore,participationScorePlace,resultScore,resultScorePlace,competitionScore,competitionUrl
1,599047,"Herculis, Stade Louis II, Monaco",MON,14 AUG 2020,14 AUG 2020,5395,1,85736,1,91251,https://worldathletics.org/records/competition-performance-rankings/ranking/599047
2,599166,"BAUHAUS-Galan, Olympiastadion, Stockholm",SWE,23 AUG 2020,23 AUG 2020,4575,2,83917,4,88492,https://worldathletics.org/records/competition-performance-rankings/ranking/599166
3,599475,"59th Ostrava Golden Spike, Mestský Stadion, Ostrava",CZE,08 SEP 2020,08 SEP 2020,4080,4,84227,3,88307,https://worldathletics.org/records/competition-performance-rankings/ranking/599475
4,599567,"Golden Gala Pietro Mennea, Stadio Olimpico, Roma",ITA,17 SEP 2020,17 SEP 2020,3025,6,84535,2,87560,https://worldathletics.org/records/competition-performance-rankings/ranking/599567
5,599110,"Gyulai István Memorial - Hungarian Athletics Grand Prix, Bregyó Athletic Center, Székesfehérvár",HUN,19 AUG 2020,19 AUG 2020,4575,2,82238,6,86813,https://worldathletics.org/records/competition-performance-rankings/ranking/599110
6,599665,"Diamond League Meeting, Suhaim bin Hamad Stadium, Doha",QAT,25 SEP 2020,25 SEP 2020,2870,8,82444,5,85314,https://worldathletics.org/records/competition-performance-rankings/ranking/599665
7,599216,"Janusz Kusociński Memorial, Stadion Śląski, Chorzów",POL,25 AUG 2020,25 AUG 2020,2985,7,82176,7,85161,https://worldathletics.org/records/competition-performance-rankings/ranking/599216
8,599114,"Irena Szewińska Memorial, Zdzisław Krzyszkowiak Stadium, Bydgoszcz",POL,19 AUG 2020,19 AUG 2020,2055,11,81895,8,83950,https://worldathletics.org/records/competition-performance-rankings/ranking/599114
9,600510,"Kamila Skolimowska Memorial, Stadion Śląski, Chorzów",POL,06 SEP 2020,06 SEP 2020,3525,5,80257,13,83782,https://worldathletics.org/records/competition-performance-rankings/ranking/600510
10,599546,"70th Hanžeković Memorial, Sports Park Mladost, Zagreb",CRO,14 SEP 2020,15 SEP 2020,2125,10,81509,10,83634,https://worldathletics.org/records/competition-performance-rankings/ranking/599546
11,599011,"Paavo Nurmi Games, Paavo Nurmen Stadion, Turku",FIN,11 AUG 2020,11 AUG 2020,1980,12,81403,11,83383,https://worldathletics.org/records/competition-performance-rankings/ranking/599011
12,599545,"Gala dei Castelli, Stadio Comunale, Bellinzona",SUI,15 SEP 2020,15 SEP 2020,1685,15,81606,9,83291,https://worldathletics.org/records/competition-performance-rankings/ranking/599545
13,600587,"Kip Keino Classic, Nyayo National Stadium, Nairobi",KEN,03 OCT 2020,03 OCT 2020,2430,9,80504,12,82934,https://worldathletics.org/records/competition-performance-rankings/ranking/600587
14,599390,"Meeting Pro Athlé Tour de Marseille, Stade Delort, Marseille",FRA,03 SEP 2020,03 SEP 2020,1750,14,79748,14,81498,https://worldathletics.org/records/competition-performance-rankings/ranking/599390
15,599476,"56th Palio Città della Quercia, Stadio Quercia, Rovereto",ITA,08 SEP 2020,08 SEP 2020,1400,16,79330,16,80730,https://worldathletics.org/records/competition-performance-rankings/ranking/599476
16,599154,"Seiko Golden Grand Prix 2020 Tokyo, National Stadium, Tokyo",JPN,23 AUG 2020,23 AUG 2020,960,25,79488,15,80448,https://worldathletics.org/records/competition-performance-rankings/ranking/599154
17,599474,"Anhalt 2020, Paul-Greifzu-Stadion, Dessau",GER,08 SEP 2020,08 SEP 2020,1790,13,78437,18,80227,https://worldathletics.org/records/competition-performance-rankings/ranking/599474
18,599494,"P-T-S Meeting, x-bionic sphere, Šamorín",SVK,11 SEP 2020,11 SEP 2020,1145,18,78670,17,79815,https://worldathletics.org/records/competition-performance-rankings/ranking/599494
19,600884,"Grande Prêmio Brasil Caixa de Atletismo, COTP Stadium, São Paulo",BRA,06 DEC 2020,06 DEC 2020,1090,19,78023,20,79113,https://worldathletics.org/records/competition-performance-rankings/ranking/600884
20,599179,"Sollentuna GP, Sollentunavallen, Sollentuna",SWE,10 AUG 2020,10 AUG 2020,1075,20,77885,21,78960,https://worldathletics.org/records/competition-performance-rankings/ranking/599179
21,599558,"Kladno Hází A Kladenské Memoriály, Mestský Stadion Sletište, Kladno",CZE,16 SEP 2020,16 SEP 2020,1015,21,77870,22,78885,https://worldathletics.org/records/competition-performance-rankings/ranking/599558
22,596888,"Canberra Track Classic, AIS Athletics Track, Canberra",AUS,13 FEB 2020,13 FEB 2020,785,32,77749,23,78534,https://worldathletics.org/records/competition-performance-rankings/ranking/596888
23,597188,"Sydney Track Classic, SOPAC, Sydney",AUS,22 FEB 2020,22 FEB 2020,880,28,77651,24,78531,https://worldathletics.org/records/competition-performance-rankings/ranking/597188
24,599418,"KBC Nacht van de Atletiek, Stadion De Veen, Heusden-Zolder",BEL,06 SEP 2020,06 SEP 2020,410,56,78093,19,78503,https://worldathletics.org/records/competition-performance-rankings/ranking/599418
25,599507,"Grand Prix Meeting, Golęcin Stadion, Poznan",POL,11 SEP 2020,11 SEP 2020,1235,17,77246,30,78481,https://worldathletics.org/records/competition-performance-rankings/ranking/599507
26,599421,"Finnkampen, Ratinan Stadion, Tampere",FIN,05 SEP 2020,06 SEP 2020,915,27,77351,29,78266,https://worldathletics.org/records/competition-performance-rankings/ranking/599421
27,598883,"13th Triveneto Meeting, Stadio Giuseppe Grezar, Trieste",ITA,01 AUG 2020,01 AUG 2020,760,33,77377,28,78137,https://worldathletics.org/records/competition-performance-rankings/ranking/598883
28,598943,"Motonet GP, Leppävaaran Stadion, Espoo",FIN,05 AUG 2020,05 AUG 2020,500,41,77610,25,78110,https://worldathletics.org/records/competition-performance-rankings/ranking/598943
29,600430,"Göteborg Friidrott GP, Slottsskogsvallen, Göteborg",SWE,29 AUG 2020,29 AUG 2020,955,26,76983,34,77938,https://worldathletics.org/records/competition-performance-rankings/ranking/600430
30,599045,"Kuortane Games, Kuortaneen keskusurheilukenttä, Kuortane",FIN,01 AUG 2020,01 AUG 2020,830,30,77103,32,77933,https://worldathletics.org/records/competition-performance-rankings/ranking/599045
31,597187,"Sir Graeme Douglas International, Douglas Track & Field, Auckland",NZL,23 FEB 2020,23 FEB 2020,980,23,76938,35,77918,https://worldathletics.org/records/competition-performance-rankings/ranking/597187
32,598833,"9th Meeting International Citta di Savona, Centro Sportivo Fontanassa, Savona",ITA,16 JUL 2020,16 JUL 2020,465,49,77381,27,77846,https://worldathletics.org/records/competition-performance-rankings/ranking/598833
33,599201,"Memorial José Antonio Cansino, Castellón",ESP,24 AUG 2020,24 AUG 2020,330,65,77436,26,77766,https://worldathletics.org/records/competition-performance-rankings/ranking/599201
34,600387,"7th Michitaka Kinami Memorial Meet, Yanmar Stadium Nagai, Osaka",JPN,24 OCT 2020,24 OCT 2020,470,46,77239,31,77709,https://worldathletics.org/records/competition-performance-rankings/ranking/600387
35,598979,"Brussels Grand Prix, Boudewijnstadion, Bruxelles",BEL,09 AUG 2020,09 AUG 2020,360,61,77098,33,77458,https://worldathletics.org/records/competition-performance-rankings/ranking/598979
36,599073,"Meeting de la Tchaux #champsseries, Stade de La Charrière, La Chaux-de-Fonds",SUI,15 AUG 2020,15 AUG 2020,425,53,76884,36,77309,https://worldathletics.org/records/competition-performance-rankings/ranking/599073
37,598816,"Sparkassen Gala, Sportanlage am Weinweg, Regensburg",GER,26 JUL 2020,26 JUL 2020,145,113,76499,37,76644,https://worldathletics.org/records/competition-performance-rankings/ranking/598816
38,597681,"AK Meeting, Moi International Sports Centre, Kasarani, Nairobi",KEN,05 MAR 2020,06 MAR 2020,310,69,76025,40,76335,https://worldathletics.org/records/competition-performance-rankings/ranking/597681
39,599148,"Mistrovství ČR družstev, Vitkovice, Ostrava",CZE,22 AUG 2020,22 AUG 2020,230,83,76100,38,76330,https://worldathletics.org/records/competition-performance-rankings/ranking/599148
40,596631,"Melbourne Track Classic, Lakeside Stadium, Melbourne",AUS,06 FEB 2020,06 FEB 2020,420,54,75862,42,76282,https://worldathletics.org/records/competition-performance-rankings/ranking/596631
41,599517,"Fuji Hokuroku World Trial 2020, Prefectural Stadium, Fujiyoshida",JPN,06 SEP 2020,06 SEP 2020,170,100,76048,39,76218,https://worldathletics.org/records/competition-performance-rankings/ranking/599517
42,598782,"CITIUS Champs, Stadion Wankdorf, Bern",SUI,24 JUL 2020,24 JUL 2020,285,72,75917,41,76202,https://worldathletics.org/records/competition-performance-rankings/ranking/598782
43,598662,"Motonet GP, Stadion, Lahti",FIN,15 JUL 2020,15 JUL 2020,315,67,75619,43,75934,https://worldathletics.org/records/competition-performance-rankings/ranking/598662
44,599034,"Janusz Sidło Memorial, Forest Stadium, Sopot",POL,13 AUG 2020,13 AUG 2020,470,46,75275,47,75745,https://worldathletics.org/records/competition-performance-rankings/ranking/599034
45,597613,"JAAA CARIFTA Trials, National Stadium, Kingston",JAM,06 MAR 2020,08 MAR 2020,205,93,75511,44,75716,https://worldathletics.org/records/competition-performance-rankings/ranking/597613
46,598485,"Einladungsmeeting, Stadion Allmend, Luzern",SUI,03 JUL 2020,03 JUL 2020,470,46,75177,48,75647,https://worldathletics.org/records/competition-performance-rankings/ranking/598485
47,598703,"2. kolo extraligy, Mestský Stadion Sletište, Kladno",CZE,18 JUL 2020,18 JUL 2020,270,76,75330,45,75600,https://worldathletics.org/records/competition-performance-rankings/ranking/598703
48,598549,"Motonet GP, Harjun stadion, Jyväskylä",FIN,08 JUL 2020,08 JUL 2020,215,91,75297,46,75512,https://worldathletics.org/records/competition-performance-rankings/ranking/598549
