place,competitionId,competition,country,startDate,endDate,partScore,participationScorePlace,resultScore,resultScorePlace,competitionScore,competitionUrl
1,574731,"Eugene Prefontaine Classic, Hayward Field, Eugene, OR",USA,26 MAY 2017,27 MAY 2017,8320,2,87203,1,95523,https://worldathletics.org/records/competition-performance-rankings/ranking/574731
2,578569,"Weltklasse Zürich, Letzigrund, Zürich",SUI,23 AUG 2017,24 AUG 2017,8450,1,86628,4,95078,https://worldathletics.org/records/competition-performance-rankings/ranking/578569
3,583098,"Bruxelles Memorial Van Damme, Boudewijnstadion, Bruxelles",BEL,31 AUG 2017,01 SEP 2017,8270,3,86425,5,94695,https://worldathletics.org/records/competition-performance-rankings/ranking/583098
4,578056,"Athletissima Lausanne, Stade Olympique de la Pontaise, Lausanne",SUI,06 JUL 2017,06 JUL 2017,6970,8,86644,3,93614,https://worldathletics.org/records/competition-performance-rankings/ranking/578056
5,578264,"Monaco Herculis, Stade Louis II, Monaco",MON,21 JUL 2017,21 JUL 2017,6590,10,86770,2,93360,https://worldathletics.org/records/competition-performance-rankings/ranking/578264
6,578085,"London Müller Anniversary Games, Olympic Stadium, London",GBR,09 JUL 2017,09 JUL 2017,6945,9,86231,6,93176,https://worldathletics.org/records/competition-performance-rankings/ranking/578085
7,574975,"Roma Golden Gala - Pietro Mennea, Stadio Olimpico, Roma",ITA,08 JUN 2017,08 JUN 2017,7130,6,85782,8,92912,https://worldathletics.org/records/competition-performance-rankings/ranking/574975
8,574308,"Doha IAAF Diamond League, Suhaim bin Hamad Stadium, Doha",QAT,05 MAY 2017,05 MAY 2017,7050,7,85642,9,92692,https://worldathletics.org/records/competition-performance-rankings/ranking/574308
9,574487,"Shanghai IAAF Diamond League, Shanghai Stadium, Shanghai",CHN,13 MAY 2017,13 MAY 2017,7410,5,85276,11,92686,https://worldathletics.org/records/competition-performance-rankings/ranking/574487
10,578503,"Birmingham Müller Grand Prix, Alexander Stadium, Birmingham",GBR,20 AUG 2017,20 AUG 2017,7570,4,85004,12,92574,https://worldathletics.org/records/competition-performance-rankings/ranking/578503
11,577953,"Meeting de Paris, Stade Charléty, Paris",FRA,01 JUL 2017,01 JUL 2017,6390,11,86062,7,92452,https://worldathletics.org/records/competition-performance-rankings/ranking/577953
12,578189,"Meeting International Mohammed VI d'Athletisme de Rabat, Complexe Sportif Prince Moulay Abdellah, Rabat",MAR,16 JUL 2017,16 JUL 2017,6110,12,85413,10,91523,https://worldathletics.org/records/competition-performance-rankings/ranking/578189
13,575138,"Stockholm BAUHAUS Galan, Olympiastadion, Stockholm",SWE,18 JUN 2017,18 JUN 2017,5360,15,84744,15,90104,https://worldathletics.org/records/competition-performance-rankings/ranking/575138
14,578002,"Gyulai István Memorial - Hungarian Athletics Grand Prix, Bregyó Athletic Center, Székesfehérvár",HUN,03 JUL 2017,04 JUL 2017,5540,14,84535,16,90075,https://worldathletics.org/records/competition-performance-rankings/ranking/578002
15,575089,"Oslo Bislett Games, Bislett Stadion, Oslo",NOR,15 JUN 2017,15 JUN 2017,5855,13,84162,18,90017,https://worldathletics.org/records/competition-performance-rankings/ranking/575089
16,578582,"Berlin ISTAF, Olympiastadion, Berlin",GER,27 AUG 2017,27 AUG 2017,5000,16,84989,13,89989,https://worldathletics.org/records/competition-performance-rankings/ranking/578582
17,575064,"Hengelo FBK Games, FBK Stadium, Hengelo",NED,10 JUN 2017,11 JUN 2017,3950,19,84969,14,88919,https://worldathletics.org/records/competition-performance-rankings/ranking/575064
18,575306,"Golden Spike Ostrava 2017, Mestský Stadion, Ostrava",CZE,27 JUN 2017,28 JUN 2017,4050,18,84477,17,88527,https://worldathletics.org/records/competition-performance-rankings/ranking/575306
19,578614,"Zagreb IAAF World Challenge, Sports Park Mladost, Zagreb",CRO,28 AUG 2017,29 AUG 2017,4080,17,83317,22,87397,https://worldathletics.org/records/competition-performance-rankings/ranking/578614
20,574999,"Kingston Racers Grand Prix, Kingston",JAM,10 JUN 2017,10 JUN 2017,3190,23,83951,19,87141,https://worldathletics.org/records/competition-performance-rankings/ranking/574999
21,578167,"Madrid Meeting 2017, Moratalaz, Madrid",ESP,14 JUL 2017,14 JUL 2017,2715,28,83741,20,86456,https://worldathletics.org/records/competition-performance-rankings/ranking/578167
22,574625,"Kingston Jamaica International Invitational IWC, National Stadium, Kingston",JAM,20 MAY 2017,20 MAY 2017,2845,25,83186,23,86031,https://worldathletics.org/records/competition-performance-rankings/ranking/574625
23,575047,"Turku Paavo Nurmi Games, Paavo Nurmen Stadion, Turku",FIN,13 JUN 2017,13 JUN 2017,3330,21,82253,28,85583,https://worldathletics.org/records/competition-performance-rankings/ranking/575047
24,589171,"Des Moines Drake Relays, Des Moines, IA",USA,26 APR 2017,29 APR 2017,3605,20,81741,35,85346,https://worldathletics.org/records/competition-performance-rankings/ranking/589171
