place,competitionId,competition,country,startDate,endDate,partScore,participationScorePlace,resultScore,resultScorePlace,competitionScore,competitionUrl
1,551279,"Eugene Prefontaine Classic, Hayward Field, Eugene, OR",USA,31 MAY 2013,01 JUN 2013,8370,2,86664,1,95034,https://worldathletics.org/records/competition-performance-rankings/ranking/551279
2,552260,"Weltklasse Zürich, Letzigrund, Zürich",SUI,28 AUG 2013,29 AUG 2013,8400,1,86277,4,94677,https://worldathletics.org/records/competition-performance-rankings/ranking/552260
3,552375,"Bruxelles Memorial Van Damme, Boudewijnstadion, Bruxelles",BEL,06 SEP 2013,06 SEP 2013,8200,3,86059,5,94259,https://worldathletics.org/records/competition-performance-rankings/ranking/552375
4,552023,"London Sainsbury's Anniversary Games, Olympic Stadium, London",GBR,26 JUL 2013,27 JUL 2013,7660,4,86376,3,94036,https://worldathletics.org/records/competition-performance-rankings/ranking/552023
5,551967,"Monaco Herculis, Stade Louis II, Monaco",MON,19 JUL 2013,19 JUL 2013,6885,10,86589,2,93474,https://worldathletics.org/records/competition-performance-rankings/ranking/551967
6,551832,"Paris Meeting AREVA, Stade de France, Paris-St-Denis",FRA,06 JUL 2013,06 JUL 2013,6780,12,86028,6,92808,https://worldathletics.org/records/competition-performance-rankings/ranking/551832
7,550822,"Doha IAAF Diamond League Meeting, Suhaim bin Hamad Stadium, Doha",QAT,10 MAY 2013,10 MAY 2013,6825,11,85884,7,92709,https://worldathletics.org/records/competition-performance-rankings/ranking/550822
8,551353,"Roma Golden Gala, Stadio Olimpico, Roma",ITA,06 JUN 2013,06 JUN 2013,7200,6,85424,8,92624,https://worldathletics.org/records/competition-performance-rankings/ranking/551353
9,565168,"Athletissima Lausanne, Stade Olympique de la Pontaise, Lausanne",SUI,04 JUL 2013,04 JUL 2013,7060,8,85388,9,92448,https://worldathletics.org/records/competition-performance-rankings/ranking/565168
10,551009,"Shanghai IAAF Diamond League Meeting, Shanghai Stadium, Shanghai",CHN,18 MAY 2013,18 MAY 2013,7085,7,84756,10,91841,https://worldathletics.org/records/competition-performance-rankings/ranking/551009
11,552202,"Stockholm DN Galan, Olympiastadion, Stockholm",SWE,22 AUG 2013,22 AUG 2013,7600,5,83776,14,91376,https://worldathletics.org/records/competition-performance-rankings/ranking/552202
12,551752,"Birmingham Sainsbury's Grand Prix, Alexander Stadium, Birmingham",GBR,30 JUN 2013,30 JUN 2013,6970,9,84402,12,91372,https://worldathletics.org/records/competition-performance-rankings/ranking/551752
13,551718,"Golden Spike Ostrava 2013, Mestský Stadion, Ostrava",CZE,26 JUN 2013,27 JUN 2013,5670,15,84571,11,90241,https://worldathletics.org/records/competition-performance-rankings/ranking/551718
14,551499,"Oslo ExxonMobil Bislett Games, Bislett Stadion, Oslo",NOR,13 JUN 2013,13 JUN 2013,6015,13,83874,13,89889,https://worldathletics.org/records/competition-performance-rankings/ranking/551499
15,551140,"New York adidas Grand Prix, Icahn Stadium, New York, NY",USA,25 MAY 2013,25 MAY 2013,5980,14,83098,18,89078,https://worldathletics.org/records/competition-performance-rankings/ranking/551140
16,552376,"Zagreb IAAF World Challenge, Sports Park Mladost, Zagreb",CRO,03 SEP 2013,03 SEP 2013,4610,17,83541,16,88151,https://worldathletics.org/records/competition-performance-rankings/ranking/552376
17,552281,"Berlin ISTAF, Olympiastadion, Berlin",GER,01 SEP 2013,01 SEP 2013,5050,16,82776,21,87826,https://worldathletics.org/records/competition-performance-rankings/ranking/552281
18,552393,"Rieti IAAF World Challenge, Stadio Guidobaldi, Rieti",ITA,07 SEP 2013,08 SEP 2013,3795,18,83659,15,87454,https://worldathletics.org/records/competition-performance-rankings/ranking/552393
19,551400,"Meeting International Mohammed VI d'Athletisme de Rabat, Rabat",MAR,09 JUN 2013,09 JUN 2013,3275,21,83206,17,86481,https://worldathletics.org/records/competition-performance-rankings/ranking/551400
20,551880,"Gyulai István Memorial - Hungarian Athletics Grand Prix, Puskás Ferenc Stadion, Budapest",HUN,10 JUL 2013,10 JUL 2013,3130,24,82922,19,86052,https://worldathletics.org/records/competition-performance-rankings/ranking/551880
21,551489,"Hengelo Fanny Blankers-Koen Games, FBK Stadium, Hengelo",NED,08 JUN 2013,08 JUN 2013,3140,23,82882,20,86022,https://worldathletics.org/records/competition-performance-rankings/ranking/551489
22,551107,"Beijing IAAF World Challenge Meeting, Beijing",CHN,21 MAY 2013,21 MAY 2013,3265,22,82610,22,85875,https://worldathletics.org/records/competition-performance-rankings/ranking/551107
23,550644,"Kingston Jamaica International Invitational Track Meet, National Stadium, Kingston",JAM,04 MAY 2013,04 MAY 2013,3290,20,82415,24,85705,https://worldathletics.org/records/competition-performance-rankings/ranking/550644
24,551949,"Luzern Spitzen Leichtathletik, Luzern",SUI,17 JUL 2013,17 JUL 2013,3050,25,82583,23,85633,https://worldathletics.org/records/competition-performance-rankings/ranking/551949
